n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;32;32;measure;scatter;0.0194819;0.0190141;0.000457909;8.3246e-05;3.5677e-05;5.8499e-05;6.35e-05;2.9785e-05;3.9975e-05;7.2046e-05;7.5181e-05;
48;64;64;measure;scatter;0.0389388;0.0369228;0.00200747;6.8348e-05;4.81e-05;0.00154801;8.538e-05;4.0416e-05;2.0268e-05;0.000130235;6.6705e-05;
48;64;64;measure;scatter;0.037825;0.0367862;0.00102136;4.5225e-05;4.3101e-05;0.000587211;8.7645e-05;3.1118e-05;2.3965e-05;0.000131327;7.1764e-05;
48;64;64;measure;scatter;0.0378962;0.0370035;0.000883017;6.1776e-05;4.9983e-05;0.000426922;0.000101099;4.0436e-05;2.8444e-05;0.000102462;7.1895e-05;
48;64;64;measure;scatter;0.0377308;0.0366452;0.00107708;8.8276e-05;5.7047e-05;0.000573727;9.3856e-05;3.733e-05;3.5466e-05;0.000110478;8.0901e-05;
48;64;64;measure;scatter;0.0381044;0.0372863;0.000807856;6.893e-05;2.8052e-05;9.1592e-05;9.3977e-05;4.3621e-05;3.8072e-05;0.000379782;6.383e-05;
48;64;64;measure;scatter;0.037771;0.0371361;0.00061276;5.3841e-05;4.9362e-05;0.000154591;8.2605e-05;4.8811e-05;2.7692e-05;0.000111409;8.4449e-05;
48;64;64;measure;scatter;0.0378744;0.0368215;0.00104254;5.6286e-05;5.5053e-05;0.000570621;7.55721e-05;4.6698e-05;4.9733e-05;0.000102773;8.5801e-05;
48;64;64;measure;scatter;0.0380937;0.0372591;0.000825299;5.7849e-05;4.3431e-05;9.8675e-05;9.3386e-05;3.5817e-05;4.1127e-05;0.000379732;7.5282e-05;
48;64;64;measure;scatter;0.0378671;0.0367009;0.00115636;7.2506e-05;3.2461e-05;0.000271199;0.000536376;4.3171e-05;4.6147e-05;8.3256e-05;7.1244e-05;
48;64;64;measure;scatter;0.0377967;0.0367553;0.00103163;7.8017e-05;3.0817e-05;0.000258345;0.000100118;4.9884e-05;4.6627e-05;0.000389591;7.8227e-05;
48;64;64;measure;scatter;0.0375545;0.0368667;0.000678564;5.5144e-05;4.8381e-05;0.000204143;7.4169e-05;5.1567e-05;3.9093e-05;0.000116499;8.9568e-05;
48;64;64;measure;scatter;0.03769;0.036895;0.000773672;6.1876e-05;4.4263e-05;0.000299462;8.5871e-05;4.756e-05;3.4194e-05;0.000116919;8.3527e-05;
48;64;64;measure;scatter;0.0378156;0.0371608;0.000647585;6.3489e-05;3.1068e-05;0.000136126;0.000114404;4.3121e-05;4.3021e-05;0.000138189;7.8167e-05;
48;64;64;measure;scatter;0.0377547;0.0367891;0.000956255;6.0043e-05;4.2069e-05;0.000363332;8.7845e-05;4.0035e-05;2.4295e-05;0.000270859;6.7777e-05;
48;64;64;measure;scatter;0.037565;0.0366523;0.000903635;4.5926e-05;5.1597e-05;0.000214612;7.7676e-05;4.3882e-05;2.5809e-05;0.000360787;8.3346e-05;
48;64;64;measure;scatter;0.037777;0.0372278;0.000537779;5.6385e-05;4.217e-05;5.1396e-05;9.3145e-05;3.214e-05;2.2372e-05;0.000167725;7.2446e-05;
48;64;64;measure;scatter;0.0375104;0.0365999;0.000902734;6.7597e-05;5.856e-05;0.000374903;9.3666e-05;5.0164e-05;2.677e-05;0.000157706;7.3368e-05;
48;64;64;measure;scatter;0.0477185;0.0470296;0.000680286;7.6794e-05;6.1656e-05;0.000103834;6.9781e-05;4.5295e-05;2.3074e-05;0.000206327;9.3525e-05;
48;64;64;measure;scatter;0.0379735;0.0372209;0.000742484;8.1343e-05;4.6868e-05;7.0332e-05;0.000105989;4.5245e-05;3.0277e-05;0.000287519;7.4911e-05;
48;64;64;measure;scatter;0.037954;0.0367443;0.00120051;4.4995e-05;4.3752e-05;0.000765216;8.7223e-05;5.1347e-05;4.6156e-05;9.1933e-05;6.9891e-05;
48;64;64;measure;scatter;0.0392802;0.0383447;0.000923062;6.5914e-05;5.7277e-05;0.0001597;8.8355e-05;3.7882e-05;2.4706e-05;0.000417543;7.1685e-05;
48;64;64;measure;scatter;0.0378041;0.0369074;0.000883588;6.5082e-05;4.765e-05;0.00038896;8.559e-05;3.4725e-05;2.2342e-05;0.000164389;7.485e-05;
48;64;64;measure;scatter;0.047445;0.0369075;0.0105289;6.4051e-05;5.2438e-05;0.0100483;8.2345e-05;4.3582e-05;1.6551e-05;0.000145172;7.6494e-05;
48;64;64;measure;scatter;0.0379708;0.0370343;0.000930015;4.5936e-05;4.7389e-05;0.000182152;6.7286e-05;4.5916e-05;3.2882e-05;0.000428063;8.0391e-05;
48;64;64;measure;scatter;0.0375614;0.036861;0.000688381;6.5192e-05;4.0616e-05;0.000183835;8.94381e-05;4.5085e-05;3.1529e-05;0.000156794;7.5892e-05;
48;64;64;measure;scatter;0.0376434;0.03703;0.000606047;6.3018e-05;4.3251e-05;0.000160381;8.516e-05;5.0334e-05;3.4535e-05;0.000104777;6.4591e-05;
48;64;64;measure;scatter;0.0375016;0.0369192;0.000571592;6.3318e-05;3.9925e-05;0.000109816;8.6523e-05;4.6347e-05;3.6608e-05;0.000108414;8.0641e-05;
48;64;64;measure;scatter;0.0375198;0.0370007;0.000510218;6.1656e-05;4.1488e-05;7.984e-05;8.9959e-05;3.8161e-05;4.0757e-05;8.6672e-05;7.1685e-05;
48;64;64;measure;scatter;0.0378565;0.0367303;0.00111608;7.3117e-05;5.5144e-05;0.000603162;8.044e-05;4.3192e-05;2.8172e-05;0.000162936;6.9921e-05;
48;64;64;measure;scatter;0.0491995;0.0469374;0.00225491;6.2768e-05;3.6779e-05;0.00174839;8.6402e-05;3.721e-05;2.9275e-05;0.000184646;6.944e-05;
48;64;64;measure;scatter;0.0379558;0.0367894;0.00115712;6.7737e-05;4.0165e-05;0.000370395;7.8948e-05;3.9444e-05;3.5447e-05;0.000440527;8.4458e-05;
48;64;64;measure;scatter;0.0375587;0.0366221;0.000925908;6.9521e-05;5.42719e-05;0.000450595;7.446e-05;3.8132e-05;1.9937e-05;0.000136135;8.2856e-05;
48;64;64;measure;scatter;0.037452;0.0366163;0.000827032;7.3879e-05;3.6649e-05;0.000324659;9.8224e-05;5.1757e-05;4.247e-05;0.000125686;7.3708e-05;
48;64;64;measure;scatter;0.0376736;0.03676;0.000902344;7.2967e-05;3.4876e-05;0.00014929;9.3585e-05;4.752e-05;2.158e-05;0.000401253;8.1273e-05;
48;64;64;measure;scatter;0.0376192;0.0371214;0.000486463;5.4713e-05;3.7129e-05;9.6241e-05;8.3757e-05;3.8723e-05;2.4406e-05;9.0419e-05;6.1075e-05;
48;64;64;measure;scatter;0.0374371;0.0364236;0.00100472;5.1857e-05;4.4904e-05;0.000508735;9.0089e-05;4.9342e-05;4.9463e-05;0.000141686;6.8639e-05;
48;64;64;measure;scatter;0.0377824;0.0372269;0.000534543;6.8218e-05;3.3873e-05;8.4378e-05;9.553e-05;3.8612e-05;3.8723e-05;0.000101681;7.3528e-05;
48;64;64;measure;scatter;0.0377889;0.0367356;0.0010439;7.8457e-05;3.9053e-05;0.000265769;8.9247e-05;4.9123e-05;3.5967e-05;0.000405371;8.0911e-05;
48;64;64;measure;scatter;0.0379324;0.0368798;0.00104298;5.9853e-05;0.000224311;0.000143579;7.5251e-05;3.9645e-05;4.24689e-05;0.000383009;7.486e-05;
48;64;64;measure;scatter;0.037699;0.0370208;0.000669667;5.6857e-05;5.8249e-05;7.7886e-05;8.9618e-05;4.254e-05;2.5929e-05;0.00024532;7.3268e-05;
48;64;64;measure;scatter;0.0374349;0.0369243;0.000504877;5.6236e-05;4.8771e-05;8.8927e-05;8.6322e-05;4.7509e-05;4.9834e-05;5.5113e-05;7.2165e-05;
48;64;64;measure;scatter;0.037597;0.0369219;0.000668364;6.383e-05;3.3152e-05;0.00021338;7.2727e-05;4.3211e-05;2.3875e-05;0.000141685;7.6504e-05;
48;64;64;measure;scatter;0.0375064;0.036823;0.000673735;6.2137e-05;4.7098e-05;0.000227908;8.8586e-05;5.0785e-05;2.632e-05;0.000102412;6.8489e-05;
48;64;64;measure;scatter;0.0378615;0.0369082;0.000944963;6.4291e-05;4.0536e-05;0.000217278;9.1541e-05;2.8614e-05;2.8003e-05;0.000402936;7.1764e-05;
48;64;64;measure;scatter;0.0374967;0.0366889;0.00079963;5.9562e-05;5.0414e-05;0.000269997;9.3445e-05;3.689e-05;2.2141e-05;0.000160802;0.000106379;
48;64;64;measure;scatter;0.0377243;0.0363856;0.00133057;7.3367e-05;4.6027e-05;0.000567975;9.4488e-05;4.9222e-05;2.8554e-05;0.00038937;8.1563e-05;
48;64;64;measure;scatter;0.0377131;0.0370434;0.000649559;6.6224e-05;5.2438e-05;0.000142267;9.2193e-05;4.4724e-05;3.723e-05;0.000151414;6.3069e-05;
48;64;64;measure;scatter;0.0377602;0.0369244;0.000828574;5.8369e-05;4.239e-05;6.8378e-05;9.1702e-05;4.9613e-05;2.9876e-05;0.000418746;6.95e-05;
48;64;64;measure;scatter;0.0377873;0.0368128;0.000966293;7.5882e-05;6.59541e-05;0.000239429;8.4759e-05;5.2478e-05;3.2361e-05;0.000331001;8.4429e-05;
48;64;64;measure;scatter;0.0375148;0.0368197;0.000686589;7.5251e-05;0.00022348;8.0651e-05;9.8174e-05;4.4404e-05;3.2911e-05;6.6926e-05;6.4792e-05;
48;128;128;measure;scatter;0.138691;0.137371;0.00131178;0.000151073;6.915e-05;0.000384683;0.000103554;7.61831e-05;3.73409e-05;0.000375615;0.000114184;
48;128;128;measure;scatter;0.067622;0.0660909;0.00152237;0.000116118;6.09839e-05;0.000683674;8.3317e-05;7.6904e-05;5.1327e-05;0.000351199;9.88459e-05;
48;128;128;measure;scatter;0.0678027;0.0666392;0.00115207;9.20431e-05;5.7668e-05;0.000323317;9.1302e-05;6.07341e-05;5.13559e-05;0.000377549;9.81051e-05;
48;128;128;measure;scatter;0.0680807;0.0655286;0.00254455;0.000111609;5.94018e-05;0.00158109;9.90459e-05;7.3889e-05;4.9493e-05;0.000487275;8.27459e-05;
48;128;128;measure;scatter;0.06735;0.066226;0.00111488;8.67229e-05;7.50909e-05;0.000332715;9.27141e-05;6.2838e-05;5.58849e-05;0.000320221;8.86971e-05;
48;128;128;measure;scatter;0.0674228;0.0659859;0.00142464;8.9929e-05;6.0003e-05;0.00068189;9.3255e-05;6.70762e-05;4.82909e-05;0.00029836;8.58321e-05;
48;128;128;measure;scatter;0.0675403;0.0660931;0.0014377;9.86762e-05;6.63539e-05;0.00063354;9.59111e-05;7.03221e-05;4.82099e-05;0.000330521;9.4167e-05;
48;128;128;measure;scatter;0.0677867;0.0667088;0.00105935;9.65821e-05;6.53621e-05;0.000200838;8.91571e-05;6.48319e-05;5.08451e-05;0.000391636;0.000100098;
48;128;128;measure;scatter;0.067249;0.0662234;0.00101624;9.8815e-05;5.80091e-05;0.000172544;9.1963e-05;5.858e-05;7.57121e-05;0.00036743;9.31851e-05;
48;128;128;measure;scatter;0.0673128;0.0660469;0.0012545;9.19329e-05;6.3238e-05;0.000471576;8.33871e-05;6.38999e-05;4.5575e-05;0.000354827;8.006e-05;
48;128;128;measure;scatter;0.0779691;0.0665536;0.0114068;0.000117791;6.871e-05;0.0105803;0.000107131;7.62239e-05;5.55541e-05;0.000308539;9.25439e-05;
48;128;128;measure;scatter;0.0671881;0.0662475;0.00093188;0.000121798;5.18281e-05;0.000125325;0.000119424;7.4751e-05;4.61969e-05;0.000296396;9.61612e-05;
48;128;128;measure;scatter;0.0673663;0.0661666;0.00118066;0.000103865;7.4249e-05;0.000344497;8.1914e-05;7.91189e-05;3.48352e-05;0.000359846;0.000102332;
48;128;128;measure;scatter;0.0675462;0.0657955;0.00173934;9.9737e-05;8.43289e-05;0.000854064;0.000100829;6.38701e-05;5.2419e-05;0.00039425;8.98389e-05;
48;128;128;measure;scatter;0.0672417;0.0661622;0.00106906;9.3055e-05;6.31481e-05;0.000303781;8.12321e-05;7.43899e-05;5.0395e-05;0.000308629;9.4428e-05;
48;128;128;measure;scatter;0.067673;0.0658926;0.00177236;8.60109e-05;7.73561e-05;0.00103203;9.8174e-05;8.0432e-05;3.29611e-05;0.000271641;9.3756e-05;
48;128;128;measure;scatter;0.0675172;0.0655255;0.00198268;0.000127639;5.286e-05;0.00118533;8.8807e-05;5.4392e-05;4.8331e-05;0.000332895;9.24331e-05;
48;128;128;measure;scatter;0.0675561;0.0661864;0.00136114;9.17618e-05;6.89302e-05;0.000529224;0.00010137;7.50211e-05;5.0294e-05;0.000340279;0.000104256;
48;128;128;measure;scatter;0.0671903;0.0656573;0.00152202;0.000112591;7.40089e-05;0.000709813;9.8916e-05;5.77392e-05;4.75189e-05;0.000336061;8.53699e-05;
48;128;128;measure;scatter;0.0671162;0.0658613;0.00124453;0.000105298;6.06938e-05;0.000451949;9.7753e-05;8.0982e-05;6.2949e-05;0.000291888;9.3014e-05;
48;128;128;measure;scatter;0.0671664;0.0655109;0.00164427;0.000105328;6.46708e-05;0.000897746;8.61119e-05;6.36901e-05;5.57851e-05;0.000275387;9.5549e-05;
48;128;128;measure;scatter;0.0674067;0.0654886;0.0019098;0.000136306;7.6805e-05;0.00108811;8.38181e-05;5.885e-05;4.81708e-05;0.000315983;0.000101751;
48;128;128;measure;scatter;0.067194;0.0655095;0.0016756;7.59019e-05;7.43901e-05;0.000891625;9.9476e-05;5.7799e-05;3.9133e-05;0.000346621;9.0651e-05;
48;128;128;measure;scatter;0.0810631;0.0657247;0.0153268;9.46368e-05;7.80071e-05;0.00114611;8.9277e-05;5.72279e-05;4.2239e-05;0.0136867;0.000132529;
48;128;128;measure;scatter;0.0674388;0.0658378;0.0015892;9.18619e-05;6.0684e-05;0.0007402;8.60221e-05;7.66439e-05;4.785e-05;0.000373942;0.000112;
48;128;128;measure;scatter;0.0675314;0.0655721;0.00194605;9.2915e-05;6.5994e-05;0.00112323;8.42079e-05;6.8008e-05;4.24301e-05;0.000385354;8.3907e-05;
48;128;128;measure;scatter;0.0674081;0.065757;0.0016381;9.1943e-05;7.56721e-05;0.00077233;0.000120166;0.0001064;3.93542e-05;0.000326543;0.000105688;
48;128;128;measure;scatter;0.0673179;0.0663408;0.000965173;0.00010157;6.16459e-05;0.000168537;0.000115878;7.45601e-05;5.74479e-05;0.00028201;0.000103524;
48;128;128;measure;scatter;0.0672082;0.0657911;0.00139818;9.57299e-05;6.70559e-05;0.000594077;9.94871e-05;5.11459e-05;5.33301e-05;0.000353885;8.3467e-05;
48;128;128;measure;scatter;0.0674473;0.0656058;0.00183399;9.3536e-05;7.56921e-05;0.000991674;8.9328e-05;6.21059e-05;6.6075e-05;0.000349306;0.00010627;
48;128;128;measure;scatter;0.0674477;0.0659991;0.00143877;9.7303e-05;7.34881e-05;0.000604897;0.000112331;7.12441e-05;5.4823e-05;0.00034068;8.40081e-05;
48;128;128;measure;scatter;0.0673349;0.0658904;0.00143489;0.000107542;6.53029e-05;0.00065488;9.45779e-05;5.32102e-05;4.788e-05;0.000302048;0.000109445;
48;128;128;measure;scatter;0.0673685;0.065911;0.00144565;0.000117;5.96321e-05;0.00060139;9.07001e-05;7.2316e-05;4.52648e-05;0.000368743;9.06012e-05;
48;128;128;measure;scatter;0.0671829;0.0657909;0.00138227;8.92479e-05;7.37391e-05;0.00059618;8.88971e-05;7.10741e-05;4.46229e-05;0.000331433;8.7074e-05;
48;128;128;measure;scatter;0.0675169;0.0659245;0.00158451;0.000102383;6.99612e-05;0.000743748;0.000103534;8.2535e-05;5.31601e-05;0.000322667;0.00010652;
48;128;128;measure;scatter;0.0671005;0.0658853;0.00120459;8.72139e-05;6.79079e-05;0.000357932;8.37978e-05;6.36491e-05;3.2912e-05;0.000407977;0.000103204;
48;128;128;measure;scatter;0.0676977;0.0660648;0.00162319;7.99601e-05;5.9031e-05;0.000836372;8.0822e-05;6.05341e-05;5.7939e-05;0.000356139;9.2393e-05;
48;128;128;measure;scatter;0.0673125;0.0657605;0.00154331;9.3305e-05;7.0282e-05;0.000769997;8.2165e-05;6.0654e-05;3.22601e-05;0.000334178;0.000100469;
48;128;128;measure;scatter;0.0675114;0.0652268;0.00227487;9.23541e-05;5.01939e-05;0.00149329;9.17129e-05;7.96891e-05;4.234e-05;0.000328537;9.67521e-05;
48;128;128;measure;scatter;0.0673979;0.0656364;0.00175143;0.000112141;6.3339e-05;0.000948232;9.56499e-05;4.9914e-05;4.34811e-05;0.000348295;9.038e-05;
48;128;128;measure;scatter;0.0675007;0.0660779;0.00141066;9.06212e-05;5.57038e-05;0.000612892;8.7695e-05;6.10549e-05;5.17371e-05;0.000345129;0.000105828;
48;128;128;measure;scatter;0.0674281;0.0656536;0.00176833;0.000107372;6.1135e-05;0.00094731;8.92379e-05;6.27581e-05;4.7138e-05;0.000355829;9.7553e-05;
48;128;128;measure;scatter;0.0673001;0.0655882;0.00169056;0.000113042;5.08761e-05;0.000888019;8.89471e-05;5.97918e-05;5.45231e-05;0.000335089;0.000100269;
48;128;128;measure;scatter;0.0890465;0.0751153;0.0139214;9.05001e-05;8.02809e-05;0.0130391;8.35171e-05;4.42029e-05;3.0407e-05;0.000459954;9.3386e-05;
48;128;128;measure;scatter;0.0691503;0.0657235;0.00341848;0.000119104;6.6766e-05;0.000974892;9.8876e-05;6.70161e-05;4.8561e-05;0.00195696;8.63119e-05;
48;128;128;measure;scatter;0.0671783;0.0656461;0.00152044;8.44789e-05;6.88401e-05;0.000763254;9.98981e-05;5.82288e-05;6.1746e-05;0.000285286;9.8706e-05;
48;128;128;measure;scatter;0.0670787;0.0656468;0.00142074;8.92479e-05;8.03811e-05;0.000642848;0.000104777;7.3438e-05;3.56471e-05;0.000285646;0.000108755;
48;128;128;measure;scatter;0.0675329;0.0655361;0.00198567;9.22128e-05;7.986e-05;0.00114655;9.83439e-05;5.4463e-05;4.0215e-05;0.000370457;0.000103574;
48;128;128;measure;scatter;0.0672817;0.0657064;0.00156577;0.000112832;7.75161e-05;0.000733629;0.0001122;6.35101e-05;5.6556e-05;0.000310103;9.94271e-05;
48;128;128;measure;scatter;0.0674031;0.06534;0.00205277;9.61511e-05;7.20748e-05;0.00123049;0.000127309;7.20648e-05;5.09762e-05;0.000322566;8.11331e-05;
48;256;256;measure;scatter;0.110743;0.108368;0.00236665;0.000139432;0.000107933;0.00117119;0.000132098;9.3516e-05;8.3016e-05;0.000508796;0.000130665;
48;256;256;measure;scatter;0.11104;0.108609;0.00242109;0.000140794;0.000101451;0.00128508;0.000120035;8.93581e-05;5.46831e-05;0.000477137;0.000152546;
48;256;256;measure;scatter;0.110907;0.108545;0.00235194;0.000136957;0.000100599;0.00126501;0.000110999;8.8085e-05;6.7798e-05;0.000455215;0.000127279;
48;256;256;measure;scatter;0.11064;0.108794;0.00183575;0.000116299;0.000111419;0.000762283;0.000125496;9.579e-05;8.84559e-05;0.000401384;0.000134623;
48;256;256;measure;scatter;0.111072;0.108712;0.00234878;0.000125116;9.49781e-05;0.00125417;0.000123011;0.000104126;7.77959e-05;0.000450316;0.000119274;
48;256;256;measure;scatter;0.110878;0.108464;0.00240404;0.000194545;9.14519e-05;0.00117357;0.000136357;9.1281e-05;8.20539e-05;0.000497946;0.000136837;
48;256;256;measure;scatter;0.112335;0.10844;0.00388561;0.000109075;0.000130926;0.00162048;0.000123802;7.82579e-05;6.98911e-05;0.000413577;0.0013396;
48;256;256;measure;scatter;0.110769;0.108094;0.00266551;8.77948e-05;8.4158e-05;0.00163239;0.000119846;9.44168e-05;8.72342e-05;0.000418637;0.000141035;
48;256;256;measure;scatter;0.110716;0.108341;0.00236232;0.000108113;8.7965e-05;0.00126522;0.000141656;0.000104627;9.3285e-05;0.000426522;0.000134933;
48;256;256;measure;scatter;0.110964;0.108558;0.00239626;0.000133601;0.000104567;0.00118371;0.000129263;9.1522e-05;8.8396e-05;0.000519617;0.000145583;
48;256;256;measure;scatter;0.111166;0.108113;0.00304071;0.000118733;0.000102913;0.00188607;0.000106931;7.7246e-05;6.0593e-05;0.000561145;0.000127079;
48;256;256;measure;scatter;0.110693;0.108131;0.00254378;0.000118222;0.000114695;0.00143471;0.000114796;9.8906e-05;9.13609e-05;0.000447742;0.000123351;
48;256;256;measure;scatter;0.111034;0.108545;0.00247886;0.00011139;0.000113032;0.0013775;0.000107943;9.88562e-05;8.1924e-05;0.000454233;0.000133982;
48;256;256;measure;scatter;0.11109;0.108314;0.00276674;0.000131737;9.558e-05;0.00166057;0.000485162;8.8786e-05;9.1973e-05;8.62121e-05;0.000126718;
48;256;256;measure;scatter;0.110981;0.108587;0.00238346;0.000130826;9.7072e-05;0.00130147;0.000126268;8.2084e-05;8.48491e-05;0.000434587;0.000126307;
48;256;256;measure;scatter;0.110872;0.10816;0.00270069;0.000116509;0.000108634;0.00157416;0.000128721;9.86659e-05;7.8748e-05;0.000448432;0.000146826;
48;256;256;measure;scatter;0.121371;0.108308;0.0130553;0.000130745;9.9618e-05;0.0118457;0.000118843;0.000124784;9.561e-05;0.000504097;0.000135885;
48;256;256;measure;scatter;0.11084;0.108476;0.00235574;0.000123983;0.000109576;0.00115199;0.000115998;8.1253e-05;7.22259e-05;0.00058007;0.000120636;
48;256;256;measure;scatter;0.110926;0.108294;0.00262408;0.00012256;0.000118082;0.00154993;0.000137478;9.00191e-05;6.4021e-05;0.000415951;0.000126037;
48;256;256;measure;scatter;0.110775;0.108654;0.00211185;0.000114425;0.000108604;0.000997654;0.00010084;0.000110116;8.85171e-05;0.000485833;0.000105858;
48;256;256;measure;scatter;0.111026;0.108721;0.0022954;0.00012239;0.000130525;0.00111521;0.000115757;9.3125e-05;9.5279e-05;0.00049503;0.000128091;
48;256;256;measure;scatter;0.110868;0.10839;0.00246715;0.000119294;9.45081e-05;0.00128295;0.000115758;0.000114785;7.8768e-05;0.000523514;0.000137569;
48;256;256;measure;scatter;0.110823;0.108476;0.00233955;0.000121088;9.11711e-05;0.00119347;0.000119294;8.7674e-05;9.16629e-05;0.00048433;0.000150853;
48;256;256;measure;scatter;0.111154;0.108399;0.00274584;0.000125847;0.000109686;0.00159817;0.000141727;0.000115006;9.11911e-05;0.000431741;0.000132469;
48;256;256;measure;scatter;0.111613;0.108676;0.00292687;0.00014388;0.000104777;0.00179527;0.000107051;9.2875e-05;8.09322e-05;0.000469141;0.00013294;
48;256;256;measure;scatter;0.110963;0.108369;0.00258722;0.000113583;8.17028e-05;0.0014007;0.000125015;9.16319e-05;6.5553e-05;0.000572977;0.000136056;
48;256;256;measure;scatter;0.111139;0.108885;0.00224165;0.000125706;0.000111459;0.000982356;0.000119895;8.58621e-05;8.89869e-05;0.000592934;0.000134453;
48;256;256;measure;scatter;0.111376;0.109156;0.00221341;0.000120196;0.000105128;0.00105551;0.000107502;8.73539e-05;7.80772e-05;0.000543501;0.000116138;
48;256;256;measure;scatter;0.111096;0.108119;0.00295759;0.000109395;0.000102814;0.00178756;0.000147618;0.000102733;9.8675e-05;0.000471195;0.000137599;
48;256;256;measure;scatter;0.111319;0.10846;0.00285005;0.000132349;0.000100769;0.00172271;0.000119895;8.6403e-05;6.97211e-05;0.000501001;0.00011721;
48;256;256;measure;scatter;0.112764;0.10884;0.00390557;0.000126587;0.000128792;0.00279765;0.00011191;9.1692e-05;6.7878e-05;0.000458401;0.000122661;
48;256;256;measure;scatter;0.110784;0.108383;0.00239571;0.000129854;0.000108274;0.00126467;0.000141716;0.000120827;8.11929e-05;0.0004045;0.000144681;
48;256;256;measure;scatter;0.110824;0.10819;0.00262299;0.000112;9.4237e-05;0.00147317;0.000103004;8.74139e-05;6.8919e-05;0.000551887;0.000132359;
48;256;256;measure;scatter;0.110859;0.108423;0.00241468;0.000100008;0.000115056;0.00129942;0.00012739;9.058e-05;8.9769e-05;0.000427052;0.000165401;
48;256;256;measure;scatter;0.110694;0.108389;0.00229542;0.000118442;0.000107563;0.0011233;0.000112141;0.000124754;7.38788e-05;0.000515028;0.000120316;
48;256;256;measure;scatter;0.111158;0.108854;0.00229848;0.00010602;0.000109666;0.00126753;0.000132349;0.000115537;6.32391e-05;0.000388961;0.000115176;
48;256;256;measure;scatter;0.110983;0.108769;0.00220597;0.00011201;8.4199e-05;0.00117735;0.000118593;9.2604e-05;7.1604e-05;0.000402596;0.000147007;
48;256;256;measure;scatter;0.110502;0.108951;0.00154341;0.000141856;9.40771e-05;0.000437993;0.000127409;9.41469e-05;7.88181e-05;0.000453111;0.000115998;
48;256;256;measure;scatter;0.110739;0.108599;0.00213106;0.000132318;0.000107192;0.000924627;0.000127199;0.000119665;6.1736e-05;0.000523924;0.000134403;
48;256;256;measure;scatter;0.110771;0.108408;0.00235624;0.000122921;0.000114385;0.00121124;0.000106129;9.18531e-05;6.47609e-05;0.000497996;0.000146956;
48;256;256;measure;scatter;0.110865;0.108284;0.00257467;0.000153568;0.000109085;0.00133389;0.00011201;9.0691e-05;6.6224e-05;0.000524806;0.000184397;
48;256;256;measure;scatter;0.111;0.10823;0.00276304;0.000119835;0.000102603;0.00160362;0.000108514;9.23441e-05;7.6503e-05;0.000506161;0.000153459;
48;256;256;measure;scatter;0.111325;0.108432;0.00288404;0.000131017;9.5339e-05;0.00172945;0.000143931;0.000119364;8.08721e-05;0.000450156;0.000133911;
48;256;256;measure;scatter;0.111597;0.108111;0.00347801;0.000136907;9.42571e-05;0.00226579;0.000110418;8.79848e-05;7.451e-05;0.000561806;0.000146335;
48;256;256;measure;scatter;0.110723;0.108294;0.00240724;0.000120406;0.000106119;0.00129595;0.000118232;9.17029e-05;6.8869e-05;0.000490081;0.000115878;
48;256;256;measure;scatter;0.111245;0.108244;0.00299036;0.000119113;9.7113e-05;0.00186284;0.00012245;7.2977e-05;8.74139e-05;0.000501242;0.000127209;
48;256;256;measure;scatter;0.121408;0.108219;0.0131794;0.000145874;9.27749e-05;0.0120397;0.000145253;8.41881e-05;8.7274e-05;0.000459904;0.000124414;
48;256;256;measure;scatter;0.111216;0.108632;0.00257537;0.000118112;8.9338e-05;0.00144294;0.000112131;8.0341e-05;0.000100719;0.000475002;0.000156785;
48;256;256;measure;scatter;0.111016;0.108489;0.00251654;0.000118032;0.00011153;0.0014213;0.000124274;0.00010139;8.0361e-05;0.000433935;0.000125717;
48;256;256;measure;scatter;0.110863;0.108374;0.0024796;0.000129784;0.00010645;0.00132602;0.000108744;9.23329e-05;7.7225e-05;0.000485272;0.000153769;
48;512;512;measure;scatter;0.157671;0.154634;0.00302824;0.000189095;0.000108614;0.00122009;0.000204965;0.000141476;0.00010669;0.000891205;0.000166102;
48;512;512;measure;scatter;0.158159;0.154426;0.00372392;0.000198453;0.000121188;0.00180638;0.000198573;0.000139552;0.000102112;0.00097914;0.000178515;
48;512;512;measure;scatter;0.157925;0.154745;0.00317035;0.000140053;0.000135574;0.00151402;0.000188635;0.000132288;0.000110508;0.000760609;0.000188664;
48;512;512;measure;scatter;0.157899;0.154246;0.00364525;0.000208602;0.000131898;0.0018115;0.000215295;0.00013827;0.000115767;0.00084623;0.000177684;
48;512;512;measure;scatter;0.157878;0.154989;0.00288028;0.000302098;0.000137478;0.000893359;0.0001917;0.000124264;0.000111689;0.000928916;0.000190778;
48;512;512;measure;scatter;0.157816;0.154907;0.00290004;0.000172565;0.000131837;0.00101735;0.000220504;0.000133341;0.000134092;0.000897526;0.000192822;
48;512;512;measure;scatter;0.157781;0.154449;0.00332185;0.000131427;0.00013869;0.00169123;0.000195587;0.000141636;0.000115848;0.000717378;0.000190057;
48;512;512;measure;scatter;0.158024;0.154444;0.00356957;0.000141987;0.000121278;0.00173416;0.000193403;0.0001275;0.000102543;0.000951818;0.00019688;
